x_central,y_central,x_border1,y_border1,x_border2,y_border2,curva
49.267346161662296,50.18198346581671,49.08336372018916,50.6469033096926,49.45132860313543,49.71706362194082,1
50.09620845016398,50.51807328738562,49.90362708553821,50.979497623543644,50.288789814789745,50.056648951227594,1
50.84023596452238,50.83879885453567,50.63635885376991,51.295344716099684,51.04411307527484,50.38225299297165,1
51.507801597948344,51.14870905084937,51.289933468102106,51.59874624708686,51.72566972779458,50.69867185461188,1
52.10727824365283,51.45235275990928,51.872604702581924,51.89385964447762,52.34195178472373,51.01084587534094,1
52.683529287874414,51.775899478392084,52.42791662715262,52.20562284019445,52.93914194859621,51.34617611658972,1
53.16859965756894,52.081033162394135,52.89131099829428,52.49709926223605,53.4458883168436,51.66496706255222,1
53.61129778297536,52.393871930145835,53.31131050973276,52.793881474897546,53.91128505621796,51.993862385394124,1
54.01999655730461,52.71896466522973,53.69762737305825,53.10116632541495,54.342365741550964,52.3367630050445,1
54.40306887376752,53.06086025122832,54.06002240846479,53.424617206685255,54.74611533907026,52.697103295771385,1
54.79457854606454,53.45099102689876,54.43252826339974,53.79583822903666,55.156628828729346,53.10614382476086,1
55.15120268407472,53.8421630740457,54.775006952322656,54.17152119435175,55.52739841582678,53.51280495373965,1
55.50791710765202,54.26410954311082,55.12115252996256,54.58098990136089,55.89468168534148,53.94722918486075,1
55.873094710007315,54.72137931767662,55.47907428701829,55.02919079612983,56.26711513299634,54.41356783922341,1
56.28326053540401,55.2556773304469,55.88473319726297,55.557630904286015,56.681787873545055,54.953723756607786,1
56.28326053540401,55.2556773304469,55.87269173897101,55.54104247091706,56.693829331837016,54.97031218997674,0
56.50667985562716,55.57712164299597,56.09611105919416,55.86248678346613,56.91724865206017,55.29175650252581,0
56.50667985562716,55.57712164299597,56.09568207101384,55.861868585109384,56.917677640240484,55.292374700882554,0
56.952292127777234,56.22030908266036,56.54129434316391,56.50505602477377,57.363289912390556,55.93556214054694,0
56.952292127777234,56.22030908266036,56.54213474128699,56.50626523018563,57.362449514267475,55.93435293513508,0
57.17565439458087,56.5406857711336,56.76549700809063,56.82664191865888,57.58581178107111,56.25472962360833,0
57.17565439458087,56.5406857711336,56.77071857289251,56.833989334551404,57.58059021626922,56.2473822077158,0
58.08645300688123,57.79813719847647,57.681517185192874,58.09144076189427,58.49138882856958,57.50483363505867,0
58.08645300688123,57.79813719847647,57.69039004897782,58.10331605321054,58.48251596478464,57.492958343742394,0
58.32141333341957,58.1030701270695,57.92535037551616,58.408248981803574,58.71747629132298,57.79789127233543,0
58.32141333341957,58.1030701270695,57.93046947166406,58.4147797627173,58.71235719517508,57.7913604914217,0
58.56044724421994,58.402864645723405,58.16950338246443,58.714574281371206,58.951391105975446,58.0911550100756,0
58.56044724421994,58.402864645723405,58.36411236682001,58.86270441772704,58.756782121619864,57.94302487371977,1
59.006876847871744,58.56784624234866,58.861336967180875,59.046195636754554,59.15241672856261,58.08949684794276,1
59.41806562325417,58.66491172560148,59.3376577936695,59.15840395547089,59.498473452838844,58.17141949573207,1
59.791846264461775,58.696757696176704,59.79165242607842,59.19675765860338,59.79204010284513,58.196757733750026,1
60.12605146558922,58.66608075476927,60.22154861278176,59.15687632817849,60.03055431839668,58.175285181360046,1
60.4377495341426,58.5668949595583,60.64731182290636,59.02085932724379,60.228187245378834,58.112930591872804,1
60.68308257249164,58.4152844889074,60.996620253459405,58.80476378567857,60.36954489152388,58.02580519213624,1
60.88218344547965,58.209433522693764,61.28118433449075,58.510761069672704,60.48318255646854,57.908105975714825,1
61.032884847201245,57.95203866161229,61.48959465311431,58.15554825151618,60.57617504128818,57.748529071708404,1
61.133019471751005,57.64579650635784,61.62084654390894,57.755453916822525,60.64519239959307,57.536139095893155,1
61.18173061735163,57.26653801709454,61.68126087574869,57.28820644910438,60.682200358954574,57.2448695850847,1
61.17022530943318,56.86769039805961,61.66799561268746,56.82052340538321,60.67245500617889,56.914857390736,1
61.101496499062065,56.42827790127167,61.590451815248755,56.32376618531227,60.612541182875376,56.53278961723107,1
60.97337688033289,55.950997127425595,61.449578096603545,55.798575338883566,60.49717566406224,56.10341891596762,1
60.76773793475195,55.40066632345942,61.22850151842838,55.20650937674453,60.30697435107552,55.59482327017431,1
60.76773793475195,55.40066632345942,61.18828895764844,55.13022809180436,60.34718691185546,55.671104555114475,0
60.678217064700455,55.26145489155374,61.098768087596945,54.99101665989868,60.257666041803965,55.531893123208796,0
60.678217064700455,55.26145489155374,61.098620753567616,54.990787681890495,60.257813375833294,55.532122101216984,0
60.588587432646115,55.12224102817394,61.008991121513276,54.851573818510694,60.168183743778954,55.39290823783718,0
60.588587432646115,55.12224102817394,61.0156527134105,54.86221171066218,60.16152215188173,55.3822703456857,0
59.860278287932836,53.926085331783355,60.287343568697224,53.6660560142716,59.43321300716845,54.186114649295114,0
59.860278287932836,53.926085331783355,60.294558897230246,53.678294386855434,59.425997678635426,54.173876276711276,0
59.739491524788725,53.71439337867932,60.173772134086136,53.4666024337514,59.305210915491315,53.96218432360724,0
59.739491524788725,53.71439337867932,60.174689988759134,53.46821804084508,59.30429306081832,53.960568716513556,0
59.01931331226651,52.441233952426536,59.45451177623692,52.1950586145923,58.5841148482961,52.687409290260774,0
59.01931331226651,52.441233952426536,59.45592359997754,52.19757136468502,58.582703024555485,52.684896540168054,0
58.90050123471719,52.22833883445551,59.337111522428216,51.984676246713995,58.46389094700616,52.47200142219703,0
58.90050123471719,52.22833883445551,59.34008935406871,51.990090465468455,58.46091311536567,52.46658720344257,0
