time,x,y
2.1200,1.0845,0.1697
2.1300,1.0947,0.1722
2.1400,1.1049,0.1747
2.1500,1.1152,0.1772
2.1600,1.1256,0.1798
2.1700,1.1359,0.1824
2.1800,1.1464,0.1850
2.1900,1.1568,0.1877
2.2000,1.1674,0.1903
2.2100,1.1779,0.1930
2.2200,1.1885,0.1958
2.2300,1.1992,0.1985
2.2400,1.2099,0.2013
2.2500,1.2206,0.2041
2.2600,1.2314,0.2069
2.2700,1.2423,0.2098
2.2800,1.2531,0.2126
2.2900,1.2641,0.2155
2.3000,1.2750,0.2185
2.3100,1.2861,0.2214
2.3200,1.2971,0.2244
2.3300,1.3082,0.2274
2.3400,1.3194,0.2304
2.3500,1.3306,0.2335
2.3600,1.3418,0.2366
2.3700,1.3531,0.2397
2.3800,1.3644,0.2428
2.3900,1.3758,0.2460
2.4000,1.3872,0.2492
2.4100,1.3987,0.2524
2.4200,1.4102,0.2557
2.4300,1.4217,0.2589
2.4400,1.4333,0.2623
2.4500,1.4449,0.2656
2.4600,1.4566,0.2689
2.4700,1.4683,0.2723
2.4800,1.4801,0.2758
2.4900,1.4919,0.2792
2.5000,1.5038,0.2827
2.5100,1.5157,0.2862
2.5200,1.5276,0.2897
2.5300,1.5396,0.2933
2.5400,1.5516,0.2968
2.5500,1.5637,0.3005
2.5600,1.5758,0.3041
2.5700,1.5880,0.3078
2.5800,1.6002,0.3115
2.5900,1.6124,0.3152
2.6000,1.6247,0.3190
2.6100,1.6371,0.3228
2.6200,1.6495,0.3266
2.6300,1.6619,0.3304
2.6400,1.6743,0.3343
2.6500,1.6868,0.3382
2.6600,1.6994,0.3422
2.6700,1.7120,0.3461
2.6800,1.7246,0.3502
2.6900,1.7373,0.3542
2.7000,1.7500,0.3582
2.7100,1.7628,0.3623
2.7200,1.7756,0.3665
2.7300,1.7884,0.3706
2.7400,1.8013,0.3748
2.7500,1.8143,0.3790
2.7600,1.8272,0.3833
2.7700,1.8403,0.3875
2.7800,1.8533,0.3919
2.7900,1.8664,0.3962
2.8000,1.8796,0.4006
2.8100,1.8928,0.4050
2.8200,1.9060,0.4094
2.8300,1.9193,0.4139
2.8400,1.9326,0.4184
2.8500,1.9459,0.4229
2.8600,1.9593,0.4275
2.8700,1.9728,0.4321
2.8800,1.9863,0.4367
2.8900,1.9998,0.4414
2.9000,2.0133,0.4461
2.9100,2.0269,0.4508
2.9200,2.0406,0.4556
2.9300,2.0543,0.4604
2.9400,2.0680,0.4652
2.9500,2.0818,0.4700
2.9600,2.0956,0.4749
2.9700,2.1095,0.4799
2.9800,2.1233,0.4848
2.9900,2.1373,0.4898
3.0000,2.1513,0.4948
3.0100,2.1653,0.4999
3.0200,2.1793,0.5050
3.0300,2.1934,0.5101
3.0400,2.2076,0.5153
3.0500,2.2218,0.5205
3.0600,2.2360,0.5257
3.0700,2.2502,0.5310
3.0800,2.2646,0.5363
3.0900,2.2789,0.5416
3.1000,2.2933,0.5470
3.1100,2.3077,0.5524
3.1200,2.3222,0.5579
3.1300,2.3367,0.5633
3.1400,2.3512,0.5688
3.1500,2.3658,0.5744
3.1600,2.3804,0.5800
3.1700,2.3951,0.5856
3.1800,2.4098,0.5912
3.1900,2.4245,0.5969
3.2000,2.4393,0.6027
3.2100,2.4541,0.6084
3.2200,2.4690,0.6142
3.2300,2.4839,0.6201
3.2400,2.4989,0.6259
3.2500,2.5138,0.6318
3.2600,2.5289,0.6378
3.2700,2.5439,0.6437
3.2800,2.5590,0.6498
3.2900,2.5742,0.6558
3.3000,2.5893,0.6619
3.3100,2.6046,0.6680
3.3200,2.6198,0.6742
3.3300,2.6351,0.6804
3.3400,2.6504,0.6866
3.3500,2.6658,0.6929
3.3600,2.6812,0.6992
3.3700,2.6967,0.7056
3.3800,2.7122,0.7120
3.3900,2.7277,0.7184
3.4000,2.7433,0.7249
3.4100,2.7589,0.7314
3.4200,2.7745,0.7379
3.4300,2.7902,0.7445
3.4400,2.8059,0.7511
3.4500,2.8217,0.7577
3.4600,2.8375,0.7644
3.4700,2.8533,0.7712
3.4800,2.8692,0.7779
3.4900,2.8851,0.7848
3.5000,2.9010,0.7916
3.5100,2.9170,0.7985
3.5200,2.9330,0.8054
3.5300,2.9491,0.8124
3.5400,2.9652,0.8194
3.5500,2.9813,0.8264
3.5600,2.9975,0.8335
3.5700,3.0137,0.8406
3.5800,3.0299,0.8478
3.5900,3.0462,0.8550
3.6000,3.0625,0.8623
3.6100,3.0789,0.8695
3.6200,3.0953,0.8769
3.6300,3.1117,0.8842
3.6400,3.1282,0.8916
