x_central,y_central,x_border1,y_border1,x_border2,y_border2,curva
128.54929540181593,29.10464869508551,128.45662477754934,29.595985804815722,128.6419660260825,28.613311585355294,0
133.76454358997677,30.08829168831967,133.67187296571018,30.579628798049885,133.85721421424336,29.596954578589457,0
133.76454358997677,30.08829168831967,133.65817469191808,30.576846350077982,133.87091248803546,29.59973702656136,0
134.47903054670536,30.243850925009813,134.37266164864667,30.732405586768124,134.58539944476405,29.755296263251502,0
134.47903054670536,30.243850925009813,134.36270574059665,30.73013123458832,134.59535535281407,29.757570615431305,0
135.0544386559964,30.381496302435604,134.93811384988769,30.86777661201411,135.1707634621051,29.895215992857096,0
135.0544386559964,30.381496302435604,134.9310487442345,30.86603209025255,135.1778285677583,29.89696051461866,0
135.48861663762236,30.4920623002191,135.36522672586045,30.976598088036045,135.61200654938426,30.007526512402155,0
135.48861663762236,30.4920623002191,135.36458772780134,30.976434914565335,135.61264554744338,30.007689685872865,0
135.877813852778,30.591720507292365,135.75378494295697,31.0760931216386,136.001842762599,30.10734789294613,0
135.877813852778,30.591720507292365,135.7502208773482,31.075166504918748,136.00540682820778,30.108274509665982,0
136.22421598841183,30.683144325873478,136.09662301298204,31.16659032349986,136.35180896384162,30.199698328247095,0
136.22421598841183,30.683144325873478,136.03559068378428,31.146199932096057,136.41284129303938,30.2200887196509,1
136.4843575316343,30.80288757109192,136.25260102500326,31.24593262707853,136.71611403826532,30.359842515105306,1
136.71588325867666,30.939919238269027,136.43801506023374,31.35559851883769,136.99375145711957,30.524239957700363,1
136.91989929416323,31.093564038495575,136.59643578430314,31.474839998646473,137.24336280402332,30.712288078344677,1
137.0975117627182,31.263146682862384,136.73123922432706,31.603505945437245,137.46378430110934,30.922787420287523,1
137.25976764455518,31.4617612953518,136.85314562154738,31.752722685238933,137.66638966756298,31.170799905464666,1
137.38620572805385,31.662209868729022,136.9486606079776,31.904189760243664,137.82375084813012,31.42022997721438,1
137.4896376273952,31.876522184596745,137.0282530308274,32.06919873752923,137.95102222396304,31.683845631664262,1
137.57116946720356,32.10402295404577,137.0927038315595,32.24918023256709,138.04963510284762,31.958865675524446,1
137.63190737210306,32.34403688816687,137.14220020503143,32.444967015079854,138.1216145391747,32.243106761253884,1
137.6751654814774,32.6143132509832,137.17855866042837,32.67246533854306,138.17177230252642,32.55616116342334,1
137.69634895336776,32.878099135216374,137.19687052336502,32.90093108568039,138.1958273833705,32.85526718475236,1
137.7001358731236,33.15232408247189,137.20020200377934,33.144192275632996,138.20006974246786,33.16045588931079,1
137.6876323653692,33.43631280384054,137.1888617964718,33.40127112006602,138.18640293426662,33.471354487615066,1
137.65741504720205,33.75065402826613,137.16091564099355,33.69159186072553,138.15391445341055,33.809716195806736,1
137.65741504720205,33.75065402826613,137.1620537375712,33.68270424592054,138.1527763568329,33.81860381061173,0
137.62288188154918,34.002404564809474,137.12752057191832,33.93445478246388,138.11824319118003,34.07035434715507,0
137.62288188154918,34.002404564809474,137.127693959169,33.93320253067168,138.11806980392936,34.07160659894727,0
137.58922866778477,34.24321634459374,137.09404074540458,34.174014310455945,138.08441659016495,34.312418378731536,0
137.58922866778477,34.24321634459374,137.0951424264334,34.16654310214705,138.08331490913613,34.31988958704043,1
137.520096578069,34.69686808614032,137.02553173080932,34.62334521993516,138.01466142532868,34.77039095234548,1
137.45692617875156,35.137264679917315,136.96157619571113,35.06923237654711,137.95227616179199,35.20529698328752,1
137.4016276678366,35.56389497928329,136.90524193036453,35.50388498316354,137.8980134053087,35.62390497540304,1
137.3561112433282,35.976247837596894,136.85853012589993,35.92712521980386,137.85369236075647,36.025370455389925,1
137.3203689719474,36.40163016113288,136.8215138369854,36.36781368109691,137.81922410690942,36.435446641168845,1
137.3011920144626,36.78278230006791,136.80143610601527,36.76716077735138,137.80094792290993,36.79840382278444,1
137.29766418011116,37.14808704755188,136.79771189118475,37.154994203062735,137.79761646903756,37.14117989204103,1
137.31169566689726,37.497033256943425,136.81287649678018,37.5313761677651,137.81051483701435,37.46269034612175,1
137.34519667282495,37.8291097816011,136.84973341623456,37.89631217269576,137.84065992941535,37.76190739050644,1
137.40486601884953,38.165605150706185,136.9168399251486,38.274373399138405,137.89289211255047,38.056836902273965,1
137.48477331675196,38.46111130835942,137.00886128928377,38.614433655429636,137.96068534422014,38.307788961289205,1
137.59001717052286,38.73817783088016,137.13284773045999,38.940652775188326,138.04718661058573,38.535702886572,1
137.72250777816632,38.996293571627,137.2919909741709,39.25056759994596,138.15302458216175,38.74201954330804,1
137.89686776150867,39.25123586304083,137.5027035850491,39.55886323827902,138.29103193796826,38.94360848780265,1
137.89686776150867,39.25123586304083,137.560789016999,39.62143996551514,138.23294650601835,38.88103176056653,0
138.037384809882,39.3788000712273,137.70130606537234,39.74900417370161,138.3734635543917,39.008595968753,0
138.037384809882,39.3788000712273,137.70171271698158,39.74937293322321,138.37305690278245,39.00822720923139,0
138.18683556335088,39.5141754652382,137.85116347045044,39.884748327234114,138.52250765625132,39.14360260324229,0
138.18683556335088,39.5141754652382,137.84841108411715,39.88223642738356,138.52526004258462,39.146114503092846,0
138.51135115370238,39.81256087136167,138.17292667446864,40.180621833507026,138.84977563293612,39.44449990921631,0
138.51135115370238,39.81256087136167,138.16767422398462,40.17572222390317,138.85502808342014,39.449399518820165,0
138.68582247464852,39.97767141378845,138.34214554493076,40.34083276632995,139.02949940436628,39.614510061246946,0
138.68582247464852,39.97767141378845,138.27101473081802,40.25683899009029,139.100630218479,39.69850383748661,1
