x_central,y_central,x_border1,y_border1,x_border2,y_border2
1.830240279606459524e+02,6.621045873434007945e+01,1.829326769068701424e+02,6.684971656177656030e+01,1.843473230931298303e+02,5.695028343822342975e+01
1.849404537403720497e+02,6.638849795950090993e+01,1.863448735404226397e+02,5.725758265080561671e+01,1.848246574175224453e+02,6.714135434685739767e+01
1.868932700516354828e+02,6.657045281885631027e+01,1.882768148830076314e+02,5.755438806636669824e+01,1.867600365173726971e+02,6.743868790952917891e+01
1.888347235860319984e+02,6.675141007797022041e+01,1.901976923241288659e+02,5.784881038182437862e+01,1.886843468619928785e+02,6.773363640519131934e+01
1.907646894876220074e+02,6.693246709272625594e+01,1.921075449472357661e+02,5.814086454418053052e+01,1.905976272267495517e+02,6.802621473915904460e+01
1.926834412410762809e+02,6.711211735198118333e+01,1.940064118390581598e+02,5.843056550072343214e+01,1.924999163837289871e+02,6.831643781646130265e+01
1.945909309868877699e+02,6.729095382513605728e+01,1.958943320896689784e+02,5.871792819903221528e+01,1.943912531016741241e+02,6.860432054183594630e+01
1.964869762252674263e+02,6.747046256263531916e+01,1.977713447925482626e+02,5.900296758698189592e+01,1.962716761459208499e+02,6.888987781972512892e+01
1.983720125515622215e+02,6.764805893012712090e+01,1.996374890446482198e+02,5.928569861274817754e+01,1.981412242783332260e+02,6.917312455427028794e+01
2.002458638039764764e+02,6.782518602798741369e+01,2.014928039464593041e+02,5.956613622481248171e+01,1.999999362572366124e+02,6.945407564930710009e+01
2.021085866130954969e+02,6.800175484578676333e+01,2.033373286020776902e+02,5.984429537196717774e+01,2.018478508373509328e+02,6.973274600836035120e+01
2.039603276094743762e+02,6.817707654068836121e+01,2.051711021192740532e+02,6.012019100332086197e+01,2.036850067697213831e+02,7.000915053463849347e+01
2.058008223560409249e+02,6.835319748712892363e+01,2.069941636095634010e+02,6.039383806830396395e+01,2.055114428016492241e+02,7.028330413102840168e+01
2.076302734010529321e+02,6.852906106425636779e+01,2.088065521882760436e+02,6.066525151667410398e+01,2.073271976766199032e+02,7.055522170008934779e+01
2.094487491508709525e+02,6.870449952305874319e+01,2.106083069746305227e+02,6.093444629852221794e+01,2.091323101342309201e+02,7.082491814404760078e+01
2.112562522271707905e+02,6.887978526438813276e+01,2.123994670918069687e+02,6.120143736427833403e+01,2.109268189101181861e+02,7.109240836479030179e+01
2.130527741980625933e+02,6.905526750799545255e+01,2.141800716670221334e+02,6.146623966471767631e+01,2.127107627358808770e+02,7.135770726385931084e+01
2.148385040121417262e+02,6.922996671652299483e+01,2.159501598316062427e+02,6.172886815096708801e+01,2.144841803390049790e+02,7.162082974244492561e+01
2.166133582656554211e+02,6.940473611729387926e+01,2.177097707210802753e+02,6.198933777451142646e+01,2.162471104427853277e+02,7.188179070137937288e+01
2.183773421072871201e+02,6.957983643211602498e+01,2.194589434752355999e+02,6.224766348720034159e+01,2.179995917662467093e+02,7.214060504113014360e+01
2.201306575379021240e+02,6.975419309000325541e+01,2.211977172382141816e+02,6.250386024125511852e+01,2.197416630240630298e+02,7.239728766179310071e+01
2.218734249216387013e+02,6.992727739058040015e+01,2.229261311585906071e+02,6.275794298927580428e+01,2.214733629264758008e+02,7.265185346308534520e+01
2.236056008932760903e+02,7.009967326433816481e+01,2.246442243894558430e+02,6.300992668424844823e+01,2.231947301792099836e+02,7.290431734433781230e+01
2.253267883373236486e+02,7.027439022478860409e+01,2.263520360885019329e+02,6.325982627955285409e+01,2.249058034833895192e+02,7.315469420448796711e+01
2.270376919705890941e+02,7.044690946324291758e+01,2.280496054181083991e+02,6.350765672897011882e+01,2.266066215354508699e+02,7.340299894207171860e+01
2.287379428250101228e+02,7.062005013600669656e+01,2.297369715454303503e+02,6.375343298669086778e+01,2.282972230270550824e+02,7.364924645521564628e+01
