time,x,y
2.1300,1.1268,0.0280
2.1400,1.1374,0.0286
2.1500,1.1480,0.0293
2.1600,1.1587,0.0299
2.1700,1.1694,0.0305
2.1800,1.1802,0.0312
2.1900,1.1910,0.0318
2.2000,1.2019,0.0325
2.2100,1.2128,0.0331
2.2200,1.2238,0.0338
2.2300,1.2348,0.0345
2.2400,1.2459,0.0352
2.2500,1.2570,0.0360
2.2600,1.2682,0.0367
2.2700,1.2794,0.0374
2.2800,1.2907,0.0382
2.2900,1.3020,0.0389
2.3000,1.3133,0.0397
2.3100,1.3248,0.0405
2.3200,1.3362,0.0413
2.3300,1.3477,0.0421
2.3400,1.3593,0.0430
2.3500,1.3709,0.0438
2.3600,1.3826,0.0446
2.3700,1.3943,0.0455
2.3800,1.4060,0.0464
2.3900,1.4178,0.0473
2.4000,1.4297,0.0482
2.4100,1.4416,0.0491
2.4200,1.4535,0.0500
2.4300,1.4655,0.0510
2.4400,1.4776,0.0519
2.4500,1.4897,0.0529
2.4600,1.5018,0.0539
2.4700,1.5140,0.0549
2.4800,1.5262,0.0559
2.4900,1.5385,0.0570
2.5000,1.5509,0.0580
2.5100,1.5632,0.0591
2.5200,1.5757,0.0601
2.5300,1.5882,0.0612
2.5400,1.6007,0.0623
2.5500,1.6133,0.0635
2.5600,1.6259,0.0646
2.5700,1.6386,0.0658
2.5800,1.6513,0.0669
2.5900,1.6641,0.0681
2.6000,1.6769,0.0693
2.6100,1.6897,0.0706
2.6200,1.7027,0.0718
2.6300,1.7156,0.0730
2.6400,1.7286,0.0743
2.6500,1.7417,0.0756
2.6600,1.7548,0.0769
2.6700,1.7680,0.0782
2.6800,1.7812,0.0796
2.6900,1.7944,0.0809
2.7000,1.8077,0.0823
2.7100,1.8210,0.0837
2.7200,1.8344,0.0851
2.7300,1.8479,0.0866
2.7400,1.8614,0.0880
2.7500,1.8749,0.0895
2.7600,1.8885,0.0910
2.7700,1.9021,0.0925
2.7800,1.9158,0.0940
2.7900,1.9295,0.0956
2.8000,1.9433,0.0972
2.8100,1.9571,0.0987
2.8200,1.9710,0.1004
2.8300,1.9849,0.1020
2.8400,1.9989,0.1036
2.8500,2.0129,0.1053
2.8600,2.0269,0.1070
2.8700,2.0410,0.1087
2.8800,2.0552,0.1105
2.8900,2.0694,0.1122
2.9000,2.0836,0.1140
2.9100,2.0979,0.1158
2.9200,2.1123,0.1177
2.9300,2.1266,0.1195
2.9400,2.1411,0.1214
2.9500,2.1556,0.1233
2.9600,2.1701,0.1252
2.9700,2.1846,0.1271
2.9800,2.1993,0.1291
2.9900,2.2139,0.1311
3.0000,2.2286,0.1331
3.0100,2.2434,0.1351
3.0200,2.2582,0.1372
3.0300,2.2731,0.1393
3.0400,2.2880,0.1414
3.0500,2.3029,0.1435
3.0600,2.3179,0.1457
3.0700,2.3329,0.1479
3.0800,2.3480,0.1501
3.0900,2.3631,0.1524
3.1000,2.3783,0.1546
3.1100,2.3935,0.1569
3.1200,2.4088,0.1592
3.1300,2.4241,0.1616
3.1400,2.4395,0.1640
3.1500,2.4549,0.1664
3.1600,2.4703,0.1688
3.1700,2.4858,0.1712
3.1800,2.5013,0.1737
3.1900,2.5169,0.1762
3.2000,2.5326,0.1788
3.2100,2.5482,0.1814
3.2200,2.5640,0.1840
3.2300,2.5797,0.1866
3.2400,2.5955,0.1893
3.2500,2.6114,0.1919
3.2600,2.6273,0.1947
3.2700,2.6432,0.1974
3.2800,2.6592,0.2002
3.2900,2.6752,0.2030
3.3000,2.6913,0.2058
3.3100,2.7074,0.2087
3.3200,2.7236,0.2116
3.3300,2.7398,0.2146
3.3400,2.7561,0.2175
3.3500,2.7724,0.2205
3.3600,2.7887,0.2236
3.3700,2.8051,0.2266
3.3800,2.8215,0.2297
3.3900,2.8380,0.2329
3.4000,2.8545,0.2360
3.4100,2.8711,0.2392
3.4200,2.8877,0.2425
3.4300,2.9044,0.2457
3.4400,2.9210,0.2491
3.4500,2.9378,0.2524
3.4600,2.9546,0.2558
3.4700,2.9714,0.2592
3.4800,2.9883,0.2626
3.4900,3.0052,0.2661
3.5000,3.0221,0.2696
3.5100,3.0391,0.2732
3.5200,3.0561,0.2768
3.5300,3.0732,0.2804
3.5400,3.0903,0.2841
3.5500,3.1075,0.2878
3.5600,3.1247,0.2915
