x,y
1249.0036,1023.6494
1248.6004654098767,1023.646605004043
1248.1974609530735,1023.6438392176485
1247.7945862780907,1023.6411025434526
1247.3918410334281,1023.6383948840909
1246.9892248675858,1023.6357161421993
1246.586737429064,1023.6330662204136
1246.1843783663626,1023.63044502137
1245.7821473279819,1023.6278524477038
1245.3800439624215,1023.6252884020513
1244.9780679181818,1023.6227527870481
1244.5762188437625,1023.6202455053301
1244.174496387664,1023.6177664595332
1243.7729001983862,1023.6153155522932
1243.3714299244293,1023.6128926862459
1242.9700852142932,1023.6104977640273
1242.5688657164778,1023.608130688273
1242.1677710794836,1023.6057913616191
1241.7668009518102,1023.6034796867013
1241.3659549819577,1023.6011955661556
1240.9652328184263,1023.5989389026176
1240.564634109716,1023.5967095987234
1240.1641585043271,1023.5945075571086
1239.7638056507592,1023.5923326804093
1239.3635751975125,1023.5901848712612
1238.963466793087,1023.5880640323
1238.563480085983,1023.585970066162
1238.1636147247004,1023.5839028754825
1237.7638703577393,1023.5818623628977
1237.3642466335994,1023.5798484310434
1236.9647432007812,1023.5778609825554
1236.5653597077846,1023.5758999200696
1236.1660958031096,1023.5739651462217
1235.7669511352562,1023.5720565636476
1235.3679253527246,1023.5701740749832
1234.9690181040146,1023.5683175828644
1234.5702290376266,1023.566486989927
1234.1715578020603,1023.5646821988067
1233.7730040458162,1023.5629031121396
1233.3745674173938,1023.5611496325614
1232.9762475652933,1023.5594216627079
1232.578044138015,1023.557719105215
1232.1799567840587,1023.5560418627188
1231.7819851519246,1023.5543898378546
1231.3841288901126,1023.5527629332587
1230.986387647123,1023.5511610515669
1230.5887610714556,1023.5495840954147
1230.1912488116104,1023.5480319674384
1229.7938505160878,1023.5465045702736
1229.3965658333875,1023.5450018065561
1228.9993944120097,1023.5435235789218
1228.6023359004544,1023.5420697900067
1228.2053899472216,1023.5406403424465
1227.8085562008114,1023.5392351388772
1227.4118343097239,1023.5378540819344
1227.0152239224592,1023.536497074254
1226.6187246875172,1023.535164018472
1226.222336253398,1023.5338548172241
1225.8260582686014,1023.5325693731462
1225.429890381628,1023.5313075888743
1225.0338322409775,1023.5300693670439
1224.63788349515,1023.5288546102912
1224.2420437926453,1023.5276632212518
1223.846312781964,1023.5264951025617
1223.4506901116056,1023.5253501568567
1223.0551754300702,1023.5242282867725
1222.6597683858583,1023.5231293949453
1222.2644686274696,1023.5220533840105
1221.8692758034042,1023.5210001566044
1221.4741895621623,1023.5199696153625
1221.0792095522436,1023.5189616629207
1220.6843354221485,1023.517976201915
1220.2895668203769,1023.5170131349811
1219.8949033954289,1023.516072364755
1219.5003447958043,1023.5151537938724
1219.1058906700034,1023.5142573249692
1218.7115406665262,1023.5133828606812
1218.3172944338728,1023.5125303036444
1217.9231516205432,1023.5116995564945
1217.5291118750374,1023.5108905218674
1217.1351748458553,1023.5101031023988
1216.7413401814974,1023.5093372007249
1216.3476075304634,1023.5085927194812
1215.9539765412533,1023.5078695613037
1215.5604468623674,1023.5071676288281
1215.1670181423056,1023.5064868246905
1214.773690029568,1023.5058270515266
1214.3804621726545,1023.5051882119723
1213.9873342200653,1023.5045702086633
1213.5943058203004,1023.5039729442356
1213.2013766218597,1023.503396321325
1212.8085462732436,1023.5028402425673
1212.4158144229518,1023.5023046105985
1212.0231807194848,1023.5017893280543
1211.630644811342,1023.5012942975706
1211.2382063470238,1023.5008194217831
1210.8458649750305,1023.500364603328
1210.4536203438618,1023.4999297448408
1210.0614721020177,1023.4995147489574
1209.6694198979983,1023.4991195183138
1209.2774633803037,1023.4987439555458
1208.8856021974343,1023.4983879632891
1208.4938359978896,1023.4980514441797
1208.10216443017,1023.4977343008535
1207.7105871427752,1023.4974364359463
1207.3191037842055,1023.4971577520937
1206.927714002961,1023.4968981519319
1206.5364174475415,1023.4966575380965
1206.1452137664473,1023.4964358132235
1205.7541026081783,1023.4962328799486
1205.3630836212346,1023.4960486409078
1204.9721564541164,1023.4958829987369
1204.5813207553235,1023.4957358560717
1204.190576173356,1023.4956071155481
1203.799922356714,1023.4954966798019
1203.4093589538975,1023.495404451469
1203.0188856134064,1023.4953303331852
1202.6285019837412,1023.4952742275863
1202.2382077134016,1023.4952360373081
1201.8480024508876,1023.4952156649867
1201.4578858446994,1023.4952130132579
1201.0678575433371,1023.4952279847573
1200.6779171953006,1023.4952604821209
1200.28806444909,1023.4953104079846
1199.8982989532053,1023.4953776649841
1199.5086203561466,1023.4954621557554
1199.119028306414,1023.4955637829343
1198.7295224525076,1023.4956824491566
1198.3401024429272,1023.495818057058
1197.950767926173,1023.4959705092748
1197.561518550745,1023.4961397084425
1197.1723539651434,1023.4963255571969
1196.7832738178681,1023.4965279581739
1196.394277757419,1023.4967468140096
1196.0053654322965,1023.4969820273395
1195.6165364910005,1023.4972335007998
1195.2277905820308,1023.497501137026
1194.839127353888,1023.4977848386541
1194.4505464550714,1023.49808450832
1194.0620475340818,1023.4984000486594
1193.6736302394188,1023.4987313623081
1193.2852942195825,1023.4990783519023
1192.897039123073,1023.4994409200776
1192.5088645983903,1023.4998189694699
1192.1207702940346,1023.5002124027149
1191.7327558585057,1023.5006211224486
1191.3448209403039,1023.5010450313068
1190.9569651879292,1023.5014840319254
1190.5691882498816,1023.5019380269403
1190.1814897746608,1023.502406918987
1189.7938694107675,1023.5028906107018
1189.4063268067014,1023.5033890047204
1189.0188616109624,1023.5039020036784
1188.6314734720509,1023.5044295102119
1188.2441620384666,1023.5049714269568
1187.8569269587097,1023.5055276565487
1187.4697678812804,1023.5060981016236
1187.0826844546784,1023.5066826648174
1186.6956763274043,1023.5072812487657
1186.3087431479576,1023.5078937561046
1185.9218845648384,1023.5085200894699
1185.535100226547,1023.5091601514974
1185.1483897815833,1023.509813844823
1184.7617528784476,1023.5104810720825
1184.3751891656395,1023.5111617359117
1183.9886982916594,1023.5118557389466
1183.6022799050072,1023.5125629838228
1183.215933654183,1023.5132833731764
1182.8296591876867,1023.5140168096431
1182.4434561540186,1023.5147631958588
1182.0573242016785,1023.5155224344593
1181.6712629791668,1023.5162944280804
1181.2852721349832,1023.5170790793582
1180.8993513176276,1023.5178762909283
