x,y
-1785.7292,792.86845
-1786.1227167980715,793.1462490830784
-1786.5162776587122,793.4239857055337
-1786.9098825217038,793.7016599432078
-1787.303531326828,793.9792718719425
-1787.6972240138664,794.2568215675797
-1788.0909605226007,794.5343091059609
-1788.4847407928123,794.8117345629282
-1788.878564764283,795.0890980143233
-1789.2724323767945,795.366399535988
-1789.6663435701284,795.6436392037639
-1790.0602982840662,795.9208170934932
-1790.4542964583898,796.1979332810173
-1790.8483380328805,796.4749878421782
-1791.2424229473204,796.7519808528177
-1791.6365511414906,797.0289123887776
-1792.0307225551733,797.3057825258996
-1792.4249371281496,797.5825913400256
-1792.8191948002013,797.8593389069973
-1793.2134955111103,798.1360253026567
-1793.6078392006582,798.4126506028452
-1794.0022258086262,798.689214883405
-1794.3966552747966,798.9657182201779
-1794.7911275389504,799.2421606890053
-1795.1856425408696,799.5185423657294
-1795.5802002203357,799.7948633261918
-1795.9748005171305,800.0711236462344
-1796.3694433710355,800.3473234016988
-1796.7641287218323,800.623462668427
-1797.1588565093027,800.8995415222607
-1797.5536266732283,801.1755600390418
-1797.9484391533906,801.4515182946119
-1798.3432938895714,801.727416364813
-1798.7381908215523,802.0032543254869
-1799.1331298891148,802.2790322524752
-1799.5281110320407,802.5547502216199
-1799.9231341901116,802.8304083087627
-1800.3181993031092,803.1060065897454
-1800.713306310815,803.3815451404098
-1801.1084551530107,803.6570240365977
-1801.503645769478,803.9324433541509
-1801.8988780999985,804.2078031689113
-1802.2941520843538,804.4831035567205
-1802.6894676623256,804.7583445934205
-1803.0848247736953,805.0335263548528
-1803.480223358245,805.3086489168596
-1803.875663355756,805.5837123552824
-1804.2711447060099,805.8587167459631
-1804.6666673487885,806.1336621647434
-1805.0622312238736,806.4085486874653
-1805.4578362710465,806.6833763899705
-1805.853482430089,806.9581453481007
-1806.2491696407826,807.2328556376979
-1806.6448978429091,807.5075073346036
-1807.0406669762501,807.7821005146599
-1807.4364769805875,808.0566352537084
-1807.8323277957024,808.331111627591
-1808.2282193613767,808.6055297121494
-1808.624151617392,808.8798895832256
-1809.0201245035303,809.1541913166611
-1809.4161379595728,809.428434988298
-1809.8121919253012,809.7026206739779
-1810.2082863404971,809.9767484495426
-1810.6044211449425,810.2508183908341
-1811.0005962784187,810.5248305736939
-1811.3968116807073,810.798785073964
-1811.7930672915902,811.0726819674861
-1812.189363050849,811.3465213301021
-1812.5856988982648,811.6203032376537
-1812.98207477362,811.8940277659827
-1813.3784906166961,812.1676949909311
-1813.7749463672742,812.4413049883404
-1814.1714419651366,812.7148578340525
-1814.5679773500644,812.9883536039093
-1814.9645524618397,813.2617923737525
-1815.3611672402437,813.535174219424
-1815.7578216250586,813.8084992167654
-1816.1545155560652,814.0817674416187
-1816.551248973046,814.3549789698255
-1816.948021815782,814.6281338772278
-1817.3448340240554,814.9012322396674
-1817.7416855376475,815.1742741329858
-1818.13857629634,815.4472596330252
-1818.5355062399144,815.7201888156271
-1818.9324753081526,815.9930617566334
-1819.329483440836,816.265878531886
-1819.7265305777464,816.5386392172265
-1820.1236166586655,816.8113438884968
-1820.5207416233745,817.0839926215388
-1820.9179054116557,817.356585492194
-1821.3151079632903,817.6291225763044
-1821.71234921806,817.901603949712
-1822.1096291157464,818.1740296882582
-1822.5069475961313,818.446399867785
-1822.9043045989965,818.7187145641342
-1823.3017000641232,818.9909738531476
-1823.699133931293,819.263177810667
-1824.0966061402883,819.5353265125341
-1824.4941166308897,819.8074200345908
-1824.8916653428798,820.0794584526789
-1825.2892522160396,820.35144184264
-1825.6868771901509,820.6233702803163
-1826.0845402049954,820.8952438415491
-1826.4822412003546,821.1670626021806
-1826.8799801160105,821.4388266380525
-1827.2777568917443,821.7105360250065
-1827.675571467338,821.9821908388844
-1828.073423782573,822.2537911555281
-1828.4713137772308,822.5253370507794
-1828.8692413910935,822.79682860048
-1829.2672065639424,823.0682658804717
-1829.6652092355591,823.3396489665963
-1830.0632493457256,823.6109779346957
-1830.4613268342232,823.8822528606116
-1830.8594416408337,824.1534738201859
-1831.2575937053386,824.4246408892603
-1831.6557829675196,824.6957541436766
-1832.0540093671584,824.9668136592766
-1832.4522728440368,825.2378195119022
-1832.850573337936,825.508771777395
-1833.2489107886379,825.779670531597
-1833.6472851359242,826.0505158503499
-1834.0456963195766,826.3213078094955
-1834.4441442793764,826.5920464848756
-1834.8426289551053,826.8627319523321
-1835.2411502865452,827.1333642877065
-1835.6397082134777,827.403943566841
-1836.0383026756842,827.6744698655771
-1836.4369336129466,827.9449432597567
-1836.8356009650465,828.2153638252216
-1837.2343046717654,828.4857316378136
-1837.633044672885,828.7560467733745
-1838.031820908187,829.0263093077461
-1838.430633317453,829.2965193167702
-1838.8294818404645,829.5666768762885
-1839.2283664170034,829.8367820621429
-1839.6272869868512,830.1068349501752
-1840.0262434897895,830.3768356162273
-1840.4252358656,830.6467841361407
-1840.8242640540643,830.9166805857574
-1841.223327994964,831.1865250409192
-1841.622427628081,831.4563175774679
-1842.0215628931965,831.7260582712452
-1842.4207337300925,831.9957471980929
-1842.8199400785504,832.265384433853
-1843.2191818783522,832.534970054367
-1843.6184590692792,832.804504135477
-1844.017771591113,833.0739867530245
-1844.4171193836355,833.3434179828516
-1844.8165023866281,833.6127979007999
-1845.2159205398727,833.8821265827113
-1845.6153737831507,834.1514041044275
-1846.014862056244,834.4206305417903
-1846.414385298934,834.6898059706415
-1846.8139434510022,834.958930466823
-1847.2135364522308,835.2280041061765
-1847.6131642424007,835.4970269645438
-1848.0128267612943,835.7659991177668
-1848.4125239486925,836.0349206416872
-1848.8122557443776,836.3037916121468
-1849.2120220881309,836.5726121049875
-1849.6118229197339,836.841382196051
-1850.0116581789687,837.110101961179
-1850.4115278056165,837.3787714762135
-1850.811431739459,837.6473908169962
-1851.2113699202782,837.9159600593689
-1851.6113422878552,838.1844792791735
-1852.0113487819722,838.4529485522515
-1852.4113893424103,838.7213679544451
-1852.8114639089515,838.9897375615958
-1853.2115724213775,839.2580574495455
-1853.6117148194696,839.5263276941361
-1854.0118910430097,839.7945483712092
-1854.4121010317792,840.0627195566067
-1854.81234472556,840.3308413261703
-1855.2126220641337,840.5989137557419
-1855.6129329872817,840.8669369211634
-1856.013277434786,841.1349108982764
-1856.413655346428,841.4028357629229
-1856.8140666619893,841.6707115909444
-1857.2145113212516,841.938538458183
-1857.6149892639967,842.2063164404804
-1858.015500430006,842.4740456136782
-1858.4160447590614,842.7417260536184
-1858.8166221909441,843.0093578361428
-1859.2172326654363,843.2769410370933
-1859.6178761223193,843.5444757323114
-1860.0185525013749,843.8119619976391
-1860.4192617423844,844.079399908918
-1860.8200037851298,844.3467895419903
-1861.2207785693927,844.6141309726975
-1861.6215860349546,844.8814242768814
-1862.0224261215972,845.1486695303838
-1862.423298769102,845.4158668090465
-1862.824203917251,845.6830161887115
-1863.2251415058254,845.9501177452203
-1863.6261114746071,846.2171715544149
-1864.0271137633779,846.484177692137
-1864.4281483119191,846.7511362342285
-1864.8292150600123,847.0180472565311
-1865.2303139474395,847.2849108348865
-1865.6314449139823,847.5517270451368
-1866.032607899422,847.8184959631235
-1866.4338028435404,848.0852176646886
-1866.8350296861192,848.3518922256737
-1867.23628836694,848.6185197219208
-1867.6375788257844,848.8851002292716
-1868.0389010024342,849.151633823568
-1868.4402548366709,849.4181205806516
-1868.8416402682763,849.6845605763643
-1869.2430572370317,849.950953886548
-1869.644505682719,850.2173005870443
-1870.0459855451197,850.4836007536951
-1870.4474967640156,850.7498544623421
-1870.8490392791882,851.0160617888273
-1871.2506130304193,851.2822228089924
-1871.6522179574904,851.5483375986793
-1872.053854000183,851.8144062337295
-1872.4555210982792,852.080428789985
-1872.8572191915603,852.3464053432876
-1873.258948219808,852.6123359694792
-1873.6607081228037,852.8782207444013
-1874.0624988403295,853.144059743896
-1874.4643203121668,853.4098530438049
-1874.866172478097,853.6756007199699
-1875.2680552779022,853.9413028482328
-1875.669968651364,854.2069595044353
-1876.0719125382636,854.4725707644193
-1876.4738868783832,854.7381367040265
-1876.875891611504,855.0036573990988
-1877.2779266774075,855.269132925478
-1877.679992015876,855.5345633590057
-1878.0820875666905,855.799948775524
-1878.484213269633,856.0652892508745
-1878.886369064485,856.330584860899
-1879.2885548910283,856.5958356814393
-1879.6907706890445,856.8610417883374
-1880.093016398315,857.1262032574349
-1880.4952919586217,857.3913201645736
-1880.8975973097458,857.6563925855953
-1881.2999323914696,857.9214205963418
-1881.7022971435745,858.186404272655
-1882.1046915058419,858.4513436903766
-1882.5071154180537,858.7162389253484
-1882.9095688199914,858.9810900534122
-1883.3120516514364,859.24589715041
-1883.7145638521708,859.5106602921832
-1884.1171053619762,859.7753795545739
-1884.519676120634,860.0400550134239
-1884.9222760679258,860.3046867445747
-1885.3249051436335,860.5692748238685
-1885.7275632875387,860.8338193271468
-1886.1302504394228,861.0983203302515
-1886.5329665390675,861.3627779090243
-1886.9357115262546,861.6271921393073
-1887.3384853407658,861.891563096942
-1887.7412879223825,862.1558908577704
-1888.1441192108864,862.420175497634
-1888.5469791460594,862.6844170923749
-1888.9498676676826,862.9486157178347
-1889.3527847155383,863.2127714498554
-1889.7557302294076,863.4768843642786
-1890.1587041490723,863.7409545369462
-1890.5617064143141,864.0049820437
-1890.9647369649147,864.2689669603818
-1891.3677957406555,864.5329093628333
-1891.7708826813184,864.7968093268964
-1892.173997726685,865.0606669284128
-1892.577140816537,865.3244822432245
-1892.9803118906557,865.588255347173
-1893.383510888823,865.8519863161004
-1893.7867377508203,866.1156752258482
-1894.1899924164295,866.3793221522585
-1894.5932748254324,866.6429271711729
-1894.9965849176103,866.9064903584333
-1895.3999226327448,867.1700117898814
-1895.8032879106179,867.433491541359
-1896.206680691011,867.696929688708
-1896.6101009137055,867.9603263077701
-1897.0135485184837,868.2236814743871
-1897.4170234451267,868.486995264401
-1897.820525633416,868.7502677536532
-1898.2240550231338,869.013499017986
-1898.6276115540616,869.2766891332407
-1899.0311951659805,869.5398381752594
-1899.4348057986729,869.8029462198838
-1899.83844339192,870.0660133429558
-1900.2421078855034,870.3290396203171
-1900.645799219205,870.5920251278094
-1901.049517332806,870.8549699412747
-1901.4532621660885,871.1178741365547
-1901.857033658834,871.3807377894913
-1902.2608317508243,871.6435609759261
-1902.6646563818406,871.906343771701
-1903.0685074916648,872.1690862526578
-1903.4723850200787,872.4317884946383
-1903.8762889068637,872.6944505734843
-1904.2802190918014,872.9570725650377
-1904.6841755146736,873.2196545451401
-1905.088158115262,873.4821965896334
-1905.4921668333482,873.7446987743593
-1905.8962016087135,874.0071611751598
-1906.3002623811399,874.2695838678766
-1906.7043490904089,874.5319669283514
-1907.1084616763023,874.7943104324261
-1907.5126000786015,875.0566144559425
-1907.9167642370883,875.3188790747423
-1908.3209540915443,875.5811043646675
-1908.7251695817513,875.8432904015597
-1909.1294106474907,876.1054372612607
-1909.533677228544,876.3675450196124
-1909.9379692646933,876.6296137524566
-1910.3422866957198,876.8916435356351
-1910.7466294614055,877.1536344449896
-1911.150997501532,877.415586556362
-1911.5553907558806,877.6774999455939
-1911.959809164233,877.9393746885274
-1912.3642526663712,878.2012108610041
-1912.7687212020767,878.4630085388659
-1913.1732147111309,878.7247677979544
-1913.5777331333159,878.9864887141116
-1913.9822764084126,879.2481713631793
-1914.3868444762034,879.5098158209992
-1914.7914372764697,879.7714221634131
-1915.1960547489928,880.0329904662628
-1915.6006968335548,880.2945208053902
-1916.005363469937,880.5560132566371
-1916.4100545979213,880.8174678958451
-1916.814770157289,881.0788847988562
-1917.2195100878223,881.340264041512
-1917.6242743293024,881.6016056996546
-1918.029062821511,881.8629098491255
-1918.4338755042297,882.1241765657666
-1918.8387123172402,882.3854059254196
-1919.2435732003241,882.6465980039266
-1919.6484580932633,882.9077528771292
-1920.0533669358392,883.168870620869
-1920.4582996678334,883.4299513109881
-1920.8632562290277,883.6909950233282
-1921.2682365592036,883.9520018337312
-1921.673240598143,884.2129718180387
-1922.078268285627,884.4739050520926
-1922.4833195614378,884.7348016117347
-1922.8883943653566,884.9956615728067
-1923.2934926371654,885.2564850111506
-1923.6986143166457,885.517272002608
-1924.103759343579,885.7780226230209
-1924.508927657747,886.0387369482308
-1924.9141191989318,886.2994150540799
-1925.3193339069144,886.5600570164096
-1925.7245717214767,886.8206629110618
-1926.1298325824002,887.0812328138785
-1926.5351164294668,887.3417668007014
-1926.9404232024579,887.6022649473721
-1927.3457528411554,887.8627273297327
-1927.7511052853406,888.1231540236248
-1928.1564804747954,888.3835451048902
-1928.5618783493014,888.6439006493708
-1928.9672988486402,888.9042207329085
-1929.3727419125933,889.1645054313447
-1929.7782074809427,889.4247548205216
-1930.1836954934697,889.6849689762807
-1930.589205889956,889.9451479744641
-1930.9947386101833,890.2052918909134
-1931.4002935939334,890.4654008014703
-1931.8058707809876,890.7254747819769
-1932.2114701111277,890.9855139082747
-1932.6170915241353,891.2455182562057
-1933.0227349597922,891.5054879016117
-1933.42840035788,891.7654229203342
-1933.8340876581801,892.0253233882155
-1934.2397968004743,892.2851893810969
-1934.6455277245445,892.5450209748205
-1935.0512803701718,892.804818245228
-1935.4570546771383,893.0645812681612
-1935.8628505852253,893.324310119462
-1936.2686680342147,893.584004874972
-1936.674506963888,893.8436656105331
-1937.080367314027,894.1032924019871
-1937.4862490244132,894.362885325176
-1937.892152034828,894.6224444559411
-1938.2980762850536,894.8819698701246
-1938.7040217148713,895.1414616435683
-1939.1099882640626,895.4009198521138
-1939.5159758724096,895.660344571603
-1939.9219844796935,895.9197358778777
-1940.328014025696,896.1790938467797
-1940.734064450199,896.4384185541506
-1941.1401356929837,896.6977100758326
-1941.5462276938322,896.9569684876672
-1941.952340392526,897.2161938654963
-1942.3584737288465,897.4753862851616
-1942.7646276425758,897.734545822505
-1943.170802073495,897.9936725533682
-1943.5769969613862,898.2527665535931
-1943.9832122460307,898.5118278990216
-1944.3894478672105,898.7708566654952
-1944.7957037647068,899.0298529288559
-1945.2019798783015,899.2888167649455
-1945.6082761477762,899.5477482496057
-1946.0145925129127,899.8066474586784
-1946.4209289134924,900.0655144680053
-1946.827285289297,900.3243493534283
-1947.2336615801082,900.5831521907891
-1947.6400577257075,900.8419230559294
-1948.0464736658766,901.1006620246914
-1948.4529093403974,901.3593691729164
-1948.859364689051,901.6180445764467
-1949.2658396516194,901.8766883111235
-1949.6723341678844,902.1353004527891
-1950.0788481776274,902.3938810772852
-1950.48538162063,902.6524302604535
-1950.891934436674,902.9109480781357
-1951.298506565541,903.1694346061738
-1951.7050979470123,903.4278899204095
-1952.11170852087,903.6863140966846
-1952.5183382268956,903.9447072108409
-1952.9249870048707,904.2030693387203
-1953.331654794577,904.4614005561643
-1953.7383415357958,904.7197009390152
-1954.1450471683092,904.9779705631142
-1954.5517716318989,905.2362095043036
-1954.958514866346,905.494417838425
-1955.3652768114325,905.7525956413201
-1955.7720574069401,906.0107429888308
-1956.1788565926504,906.2688599567989
-1956.5856743083446,906.5269466210663
-1956.992510493805,906.7850030574746
-1957.3993650888128,907.0430293418656
-1957.8062380331498,907.3010255500812
-1958.2131292665977,907.5589917579632
-1958.620038728938,907.8169280413534
-1959.0269663599522,908.0748344760937
-1959.4339120994223,908.3327111380256
-1959.8408758871299,908.590558102991
-1960.2478576628564,908.8483754468319
-1960.6548573663836,909.10616324539
-1961.061874937493,909.363921574507
-1961.4689103159662,909.6216505100248
-1961.8759634415853,909.8793501277851
-1962.2830342541313,910.1370205036297
-1962.6901226933865,910.3946617134006
-1963.0972286991318,910.6522738329394
-1963.5043522111494,910.9098569380878
-1963.9114931692209,911.167411104688
-1964.3186515131276,911.4249364085813
-1964.7258271826513,911.6824329256099
-1965.1330201175738,911.9399007316154
-1965.5402302576767,912.1973399024396
-1965.9474575427414,912.4547505139243
-1966.3547019125497,912.7121326419115
-1966.7619633068834,912.9694863622426
-1967.1692416655237,913.2268117507598
-1967.5765369282528,913.4841088833045
-1967.983849034852,913.741377835719
-1968.391177925103,913.9986186838447
-1968.7985235387873,914.2558315035235
-1969.2058858156868,914.5130163705971
-1969.613264695583,914.7701733609076
-1970.0206601182574,915.0273025502966
-1970.428072023492,915.2844040146058
-1970.835500351068,915.5414778296772
-1971.2429450407674,915.7985240713524
-1971.6504060323718,916.0555428154734
-1972.0578832656627,916.3125341378818
-1972.4653766804217,916.5694981144195
-1972.8728862164305,916.8264348209284
-1973.280411813471,917.0833443332501
-1973.6879534113243,917.3402267272265
-1974.0955109497725,917.5970820786994
-1974.503084368597,917.8539104635106
-1974.9106736075796,918.1107119575018
-1975.3182786065017,918.367486636515
-1975.7258993051453,918.6242345763918
-1976.133535643292,918.8809558529741
-1976.5411875607228,919.1376505421036
-1976.9488549972202,919.3943187196222
-1977.3565378925653,919.6509604613718
-1977.7642361865398,919.9075758431939
-1978.1719498189257,920.1641649409305
-1978.5796787295042,920.4207278304234
-1978.987422858057,920.6772645875143
-1979.3951821443661,920.9337752880451
-1979.8029565282127,921.1902600078575
-1980.2107459493786,921.4467188227934
-1980.6185503476459,921.7031518086945
-1981.0263696627953,921.9595590414027
-1981.4342038346092,922.2159405967598
-1981.842052802869,922.4722965506073
-1982.2499165073561,922.7286269787875
-1982.6577948878526,922.9849319571417
-1983.0656878841398,923.2412115615122
-1983.4735954359994,923.4974658677403
-1983.8815174832132,923.7536949516682
-1984.2894539655626,924.0098988891374
-1984.6974048228294,924.2660777559898
-1985.1053699947952,924.5222316280674
-1985.5133494212419,924.7783605812117
-1985.9213430419504,925.0344646912646
-1986.329350796703,925.2905440340679
-1986.7373726252813,925.5465986854634
-1987.1454084674667,925.802628721293
-1987.553458263041,926.0586342173983
-1987.9615219517857,926.3146152496213
-1988.3695994734826,926.5705718938036
-1988.777690767913,926.8265042257872
-1989.185795774859,927.0824123214138
-1989.593914434102,927.3382962565252
-1990.0020466854237,927.594156106963
-1990.4101924686056,927.8499919485694
-1990.8183517234295,928.105803857186
-1991.226524389677,928.3615919086544
-1991.63471040713,928.6173561788167
-1992.0429097155695,928.8730967435147
-1992.4511222547776,929.1288136785898
-1992.8581868709934,929.3843739906794
-1993.2639529939077,929.6415918047104
-1993.668903550494,929.9008065103861
-1994.0730794434355,930.1619231790824
-1994.4765215754157,930.4248468821751
-1994.8792708491176,930.6894826910403
-1995.2813681672249,930.955735677054
-1995.6828544324203,931.2235109115921
-1996.0837705473875,931.4927134660305
-1996.4841574148095,931.7632484117453
-1996.8840559373696,932.0350208201122
-1997.2835070177512,932.3079357625073
-1997.6825515586374,932.5818983103067
-1998.0812304627116,932.8568135348861
-1998.479584632657,933.1325865076217
-1998.8776549711567,933.4091222998892
-1999.2754823808943,933.6863259830646
-1999.6731077645527,933.9641026285241
-2000.0705720248154,934.2423573076433
-2000.4679160643655,934.5209950917985
-2000.8651807858864,934.7999210523653
-2001.2624070920613,935.0790402607199
-2001.6596358855734,935.3582577882382
-2002.056908069106,935.6374787062963
-2002.4542645453423,935.9166080862698
-2002.8517462169657,936.1955509995349
-2003.2493939866592,936.4742125174675
-2003.6472487571066,936.7524977114435
-2004.0453514309904,937.030311652839
-2004.4437429109946,937.3075594130299
-2004.8424640998019,937.584146063392
-2005.2415559000958,937.8599766753015
