x,y
270.37818,830.97378
271.16414709404165,830.9847528254918
271.94687999692655,830.9959704005262
272.7263817783457,831.0074234010211
273.5026555079901,831.0191025028946
274.27570425555086,831.0309983820648
275.04553109071907,831.0431017144496
275.8121390831858,831.0554031759671
276.575531302642,831.0678934425351
277.3357108187788,831.080563190072
278.09268070128724,831.0934030944957
278.84644401985844,831.106403831724
279.59700384418335,831.1195560776753
280.3443632439531,831.1328505082673
281.08852528885876,831.1462777994183
281.8294930485913,831.1598286270461
282.5672695928419,831.1734936670688
283.3018579913015,831.1872635954045
284.0332613136612,831.2011290879711
284.76148262961215,831.2150808206868
285.4865250088453,831.2291094694694
286.20839152105174,831.2432057102371
286.9270852359225,831.2573602189079
287.64260922314867,831.2715636713998
288.35496655242133,831.2858067436308
289.0641602934315,831.300080111519
289.7701935158702,831.3143744509824
290.47306928942857,831.328680437939
291.1727906837976,831.3429887483069
291.8693607686684,831.357290058004
292.562782613732,831.3715750429484
293.2530592886795,831.3858343790581
293.9401938632019,831.4000587422512
294.62418940699024,831.4142388084456
295.30504898973567,831.4283652535594
295.98277568112917,831.4424287535107
296.65737255086185,831.4564199842174
297.3288426686247,831.4703296215977
297.9971891041088,831.4841483415694
298.66241492700533,831.4978668200507
299.3245232070052,831.5114757329595
299.9835170137995,831.524965756214
300.6393994170793,831.538327565732
301.29217348653566,831.5515518374317
301.94184229185964,831.5646292472311
302.5884089027423,831.5775504710481
303.2318763888747,831.590306184801
303.87224781994786,831.6028870644075
304.5095262656529,831.6152837857859
305.1437147956808,831.627487024854
305.7748164797227,831.63948745753
306.4028343874696,831.6512757597318
307.0277715886126,831.6628426073776
307.64963115284274,831.6741786763852
308.2684161498511,831.6852746426728
308.88412964932866,831.6961211821584
309.4967747209665,831.7067089707599
310.1063544344558,831.7170286843956
310.7128718594875,831.7270709989832
311.3163300657527,831.736826590441
311.9167321229424,831.7462861346868
312.5140811007477,831.7554403076388
313.1083800688597,831.7642797852149
313.69963209696937,831.7727952433332
314.28784025476784,831.7809773579118
314.87300761194615,831.7888168048685
315.45513723819533,831.7963042601216
316.03423220320644,831.8034303995889
316.6102955766706,831.8101858991886
317.1833304282788,831.8165614348386
317.75333982772213,831.822547682457
318.32032684469164,831.8281353179618
318.88429454887836,831.833315017271
319.4452460099734,831.8380774563027
320.00318429766776,831.8424133109748
320.5581124816526,831.8463132572056
321.1100336316188,831.8497679709128
321.6589508172576,831.8527681280146
322.20486710826,831.855304404429
322.747785574317,831.8573674760739
323.2877092851197,831.8589480188676
323.8246413103592,831.860036708728
324.3585847197265,831.8606242215731
324.8895425829126,831.8607012333208
325.4175179696087,831.8602584198893
325.9425139495058,831.8592864571966
